CimProperty,CimProperty.Name,CimProperty.Value,CimProperty.CimType,CimProperty.Flags,CimProperty.IsValueModified
"Caption = ""LTRDS011""",Caption,LTRDS011,String,"Property, ReadOnly, NotModified",FALSE
"Description = ""AT/AT COMPATIBLE""",Description,AT/AT COMPATIBLE,String,"Property, ReadOnly, NotModified",FALSE
InstallDate,InstallDate,,DateTime,"Property, ReadOnly, NotModified, NullValue",FALSE
"Name = ""LTRDS011""",Name,LTRDS011,String,"Property, Key, ReadOnly, NotModified",FALSE
"Status = ""OK""",Status,OK,String,"Property, ReadOnly, NotModified",FALSE
"CreationClassName = ""Win32_ComputerSystem""",CreationClassName,Win32_ComputerSystem,String,"Property, ReadOnly, NotModified",FALSE
NameFormat,NameFormat,,String,"Property, ReadOnly, NotModified, NullValue",FALSE
PrimaryOwnerContact,PrimaryOwnerContact,,String,"Property, ReadOnly, NotModified, NullValue",FALSE
"PrimaryOwnerName = ""Enterprise Device Enginering and Managm...",PrimaryOwnerName,Enterprise Device Enginering and Managment,String,"Property, ReadOnly, NotModified",FALSE
Roles = ...,Roles,System.String[],StringArray,"Property, NotModified",FALSE
InitialLoadInfo,InitialLoadInfo,,StringArray,"Property, ReadOnly, NotModified, NullValue",FALSE
LastLoadInfo,LastLoadInfo,,String,"Property, ReadOnly, NotModified, NullValue",FALSE
PowerManagementCapabilities,PowerManagementCapabilities,,UInt16Array,"Property, ReadOnly, NotModified, NullValue",FALSE
PowerManagementSupported,PowerManagementSupported,,Boolean,"Property, ReadOnly, NotModified, NullValue",FALSE
PowerState = 0,PowerState,0,UInt16,"Property, ReadOnly, NotModified",FALSE
ResetCapability = 1,ResetCapability,1,UInt16,"Property, ReadOnly, NotModified",FALSE
AdminPasswordStatus = 3,AdminPasswordStatus,3,UInt16,"Property, ReadOnly, NotModified",FALSE
AutomaticManagedPagefile = True,AutomaticManagedPagefile,TRUE,Boolean,"Property, NotModified",FALSE
AutomaticResetBootOption = True,AutomaticResetBootOption,TRUE,Boolean,"Property, NotModified",FALSE
AutomaticResetCapability = True,AutomaticResetCapability,TRUE,Boolean,"Property, ReadOnly, NotModified",FALSE
BootOptionOnLimit,BootOptionOnLimit,,UInt16,"Property, ReadOnly, NotModified, NullValue",FALSE
